"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $180.79/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","PrivateNote"
"0x538f2af6629e4e465eff155e4f08609e0bc7a717bab621b838441fe69e4201ec","6993775","1546376572","1/1/2019 9:02:52 PM","0xd05955436368c9659b7a1bdf8f0427ca8c193b11","0x09cabec1ead1c0ba254b09efb3ee13841712be14","","0","0","0","0.00010561","0.0190932319","142.66","","",""
"0x076974dbf739bbebbfba05c3f861c90e7e189e17667b0626b3f6b4632a88f0d3","6993794","1546376898","1/1/2019 9:08:18 PM","0xd05955436368c9659b7a1bdf8f0427ca8c193b11","0x09cabec1ead1c0ba254b09efb3ee13841712be14","","0","0","0","0.00060538","0.1094466502","142.66","","",""
"0xa95bef219f5ec4a2a9084066b0e6b5cbd798b91e7c2c72a6a6b528f67760a8f7","6993980","1546379595","1/1/2019 9:53:15 PM","0x8828154fa0095636198943397b93c27058aec387","0x09cabec1ead1c0ba254b09efb3ee13841712be14","","0.001","0","0.18079","0.000185571","0.03354938109","142.66","","",""
"0x26b09ea24836dde07871c567a8502981c536647405123e3a9c72e350405ad136","6994271","1546383888","1/1/2019 11:04:48 PM","0x957c322bb708a0f0fe6b994d51d27fc3f68beffc","0x09cabec1ead1c0ba254b09efb3ee13841712be14","","0.021274741057031452","0","3.84626043570072","0.000140571","0.02541383109","142.66","","",""
"0xb9a100e8aa34c692f0acdec47774b6e4d74fe1c39dd84d71fc604e66b246b8f9","6994290","1546384207","1/1/2019 11:10:07 PM","0x957c322bb708a0f0fe6b994d51d27fc3f68beffc","0x09cabec1ead1c0ba254b09efb3ee13841712be14","","0","0","0","0.0003614848","0.065352836992","142.66","","",""
"0x01c5afe0152bb1e9189f0f836fb756f8e4294d18969b3bfb656b2b531575c995","6994352","1546385086","1/1/2019 11:24:46 PM","0x7c9932eed5aa0604ff417b2372b0aa76c5971bd3","0x09cabec1ead1c0ba254b09efb3ee13841712be14","","0.25","0","45.1975","0.000187684","0.03393139036","142.66","","",""
"0x243ebc588ed25119711d6a3271db34d83ba6b99876e6fc2d66855e20f01215da","6994381","1546385506","1/1/2019 11:31:46 PM","0x7c9932eed5aa0604ff417b2372b0aa76c5971bd3","0x09cabec1ead1c0ba254b09efb3ee13841712be14","","0.1","0","18.079","0.015200054","2.74801776266","142.66","Error(0)","Reverted",""
"0xdbd15021cca8f5216b8911042b1ebd09c69a4f2c31452f81933a50ceb3428612","6994389","1546385699","1/1/2019 11:34:59 PM","0x7c9932eed5aa0604ff417b2372b0aa76c5971bd3","0x09cabec1ead1c0ba254b09efb3ee13841712be14","","0.2","0","36.158","0.000161166","0.02913720114","142.66","","",""
"0x55fed6918e83312d6c281a0261fec85a96947ca2b498916c59a96206c41f0430","6994540","1546387779","1/2/2019 12:09:39 AM","0x7c9932eed5aa0604ff417b2372b0aa76c5971bd3","0x09cabec1ead1c0ba254b09efb3ee13841712be14","","0.1435965","0","25.960811235","0.0000982785","0.017767770015","156.57","","",""
"0xd76fc159cdbc88eb7042d72525638d500ac344efd7e95934fd5d429896d7a2ca","6994992","1546394393","1/2/2019 1:59:53 AM","0x00c26dbd3359839692d66c267b16713a1d8942eb","0x09cabec1ead1c0ba254b09efb3ee13841712be14","","0","0","0","0.00146687","0.2651954273","156.57","","",""
